image,pseudo_objects,gt_objects,matched_objects
"images/val/282555,c6870000aa81fbac.jpg",11,27,11
"images/val/282555,c7b98000630a750a.jpg",5,5,5
"images/val/282555,c9bea000c17ea2b1.jpg",5,12,5
"images/val/282555,cc128000715d30e6.jpg",24,27,23
"images/val/282555,cdb1f000ec3bb4ff.jpg",11,21,11
"images/val/282555,ce7be000c6866f26.jpg",16,16,16
"images/val/282555,d276f0007d820832.jpg",3,4,3
"images/val/282555,d4b77000f1f9c23a.jpg",6,59,6
"images/val/282555,d9400002362fe0f.jpg",4,6,4
"images/val/282555,ddda200068f480a7.jpg",10,58,10
"images/val/282555,dfe1900058f86f1e.jpg",13,22,13
"images/val/282555,e1b100009dcbec8a.jpg",3,7,3
"images/val/282555,e58d1000af74fc55.jpg",7,10,6
"images/val/282555,e8b41000c7768d8d.jpg",4,85,4
"images/val/282555,eab87000d7a3ddfb.jpg",7,36,7
"images/val/282555,ee5d3000bb46540e.jpg",15,69,14
"images/val/282555,f251a0009e63210b.jpg",3,88,2
"images/val/282555,f5aec000e5d7d015.jpg",1,52,1
"images/val/282555,f7f9e000873f7b62.jpg",2,4,1
"images/val/282555,fd6ef000dbb94581.jpg",0,40,0
"images/val/283081,100a90001b97d895.jpg",7,7,7
"images/val/283081,12f98000200850c4.jpg",13,13,13
"images/val/283081,142d50000a142887.jpg",2,3,2
"images/val/283081,150ed000495d24cf.jpg",6,9,6
"images/val/283081,1b43c000cf5a683d.jpg",3,6,3
"images/val/283081,1fa8e000d981e6f4.jpg",14,20,13
"images/val/283081,35cc000cfc2346f.jpg",6,6,6
"images/val/283081,670c00035a4e512.jpg",28,28,26
"images/val/283081,810a000082b0458.jpg",1,8,1
"images/val/283081,9e8200051bcf1b1.jpg",11,15,10
"images/val/283081,c1a900028fb6871.jpg",7,8,7
"images/val/283081,d76100012469f3b.jpg",4,3,3
"images/val/283081,f1df00030823280.jpg",4,7,4
"images/val/283554,11098000c2a2e997.jpg",5,8,3
"images/val/283554,11c9e000e7b6a223.jpg",7,7,7
"images/val/283554,13a86000d4b745e4.jpg",3,5,2
"images/val/283554,173a200055786c7c.jpg",10,16,8
"images/val/283554,18f6400062f5ec3d.jpg",52,135,52
"images/val/283554,1adba000ed59704d.jpg",16,34,15
"images/val/283554,1c3470006dc46c73.jpg",9,33,9
"images/val/283554,1f27d000e532d8f9.jpg",25,44,25
"images/val/283554,207380005468e808.jpg",21,29,15
"images/val/283554,2290700005b7d575.jpg",7,16,7
"images/val/283554,244120008dd97105.jpg",4,8,4
"images/val/283554,26883000a0d404e3.jpg",8,25,8
"images/val/283554,2805b00099fe8932.jpg",8,13,8
"images/val/283554,28eff00003701928.jpg",16,27,14
"images/val/283554,2afd9000134cd91d.jpg",11,27,11
"images/val/283554,2c82800023a96dca.jpg",9,17,9
"images/val/283554,2f02d0005ced023e.jpg",30,32,28
"images/val/283554,303c30000184e0d9.jpg",10,12,9
"images/val/283554,318a80009a9b8957.jpg",8,20,7
"images/val/283554,32ed4000b53b7ebe.jpg",5,6,5
"images/val/283554,34aa80006a2a72ab.jpg",16,57,14
"images/val/283554,3732d0004da1ac75.jpg",11,13,11
"images/val/283554,39a0100017fa1183.jpg",6,11,6
"images/val/283554,3b285000e3caeb9f.jpg",8,9,7
"images/val/283554,3e486000004d3a42.jpg",13,15,13
"images/val/283554,5e06000fe8dcce5.jpg",12,16,10
"images/val/283554,7a88000d2c19eeb.jpg",10,11,9
"images/val/283554,8e81000976609f6.jpg",6,6,6
"images/val/283554,a142000b58bf875.jpg",10,11,10
"images/val/283554,bdc900005475b48.jpg",24,83,24
"images/val/283554,d77d000f86f4ab7.jpg",11,19,11
"images/val/283554,f14c00070198f9c.jpg",3,5,3
"images/val/283647,10da20007009577c.jpg",11,15,11
"images/val/283647,120b7000e2e46855.jpg",0,3,0
"images/val/283647,13d2c00095718ed2.jpg",12,36,11
"images/val/283647,1587f000e031891d.jpg",15,16,15
"images/val/283647,171f7000bb2f219f.jpg",0,55,0
"images/val/283647,18e170005675c161.jpg",18,40,18
"images/val/283647,295d000fc4d0890.jpg",7,27,7
"images/val/283647,4d2f000a6e06620.jpg",12,23,12
"images/val/283647,7176000cb8dc623.jpg",19,43,19
"images/val/283647,786e000d12721b9.jpg",13,32,13
"images/val/283647,97e2000590a4e31.jpg",11,26,11
"images/val/283647,ac5a00061df7c1e.jpg",6,11,6
"images/val/283647,d331000f4087b45.jpg",9,11,8
"images/val/283647,ee0d00086ee6f84.jpg",22,55,22
"images/val/283991,123be000c9196502.jpg",14,20,14
"images/val/283991,148ec000da593d9f.jpg",21,28,21
"images/val/283991,15863000b072f728.jpg",12,37,12
"images/val/283991,163a10008fcaef50.jpg",11,23,11
"images/val/283991,1688f0008577cf40.jpg",14,41,14
"images/val/283991,1748d0002306f620.jpg",5,8,5
"images/val/283991,18ef20002a8e3bee.jpg",16,28,15
"images/val/283991,19782000b4949fce.jpg",7,25,7
"images/val/283991,19f11000eb408242.jpg",23,37,20
"images/val/283991,1ace5000131780c8.jpg",11,24,11
"images/val/283991,1b4d6000db871015.jpg",11,14,11
"images/val/283991,1c1e000fee0d9e1.jpg",17,20,16
"images/val/283991,1d05600069959a3f.jpg",9,14,9
"images/val/283991,1e45d00048184e9f.jpg",6,7,6
"images/val/283991,1ea36000b19f24d0.jpg",4,6,4
"images/val/283991,205100003f648e83.jpg",6,12,6
"images/val/283991,21cec000cc80ae5f.jpg",3,56,3
"images/val/283991,315000e01db72a.jpg",13,16,12
"images/val/283991,4a47000da0b08ed.jpg",14,35,14
"images/val/283991,51e7000982a7a14.jpg",6,17,6
"images/val/283991,6ab0009a803a2c.jpg",25,52,25
"images/val/283991,7a900043f4c60f.jpg",11,14,11
"images/val/283991,a6cf000c201f8db.jpg",7,10,5
"images/val/283991,e069000c11980bf.jpg",28,31,25
"images/val/283992,1039c0006b30b0d4.jpg",11,17,11
"images/val/283992,111f200032ebea28.jpg",2,3,2
"images/val/283992,11bd900042ca06ca.jpg",11,19,10
"images/val/283992,1217e000df9ee218.jpg",7,28,7
"images/val/283992,13aad00035c65655.jpg",11,44,9
"images/val/283992,1600c000239eaba8.jpg",22,49,21
"images/val/283992,16d20000ad59f6de.jpg",14,37,14
"images/val/283992,18084000581471e1.jpg",12,20,12
"images/val/283992,18b120003117b785.jpg",6,5,5
"images/val/283992,1cac0002e921039.jpg",31,112,31
"images/val/283992,26f6000f1fee913.jpg",11,26,11
"images/val/283992,3056000e977837f.jpg",10,14,9
"images/val/283992,43b80003c7328d1.jpg",7,28,7
"images/val/283992,561f00030a5043e.jpg",3,6,3
"images/val/283992,697000545e9bf4.jpg",15,15,13
"images/val/283992,756d000bdad13b9.jpg",8,21,7
"images/val/283992,7e4b0008da24e9a.jpg",7,30,7
"images/val/283992,8c270002773e76c.jpg",20,36,19
"images/val/283992,93760007ab5ebbc.jpg",6,9,5
"images/val/283992,9e00000667c727d.jpg",7,9,7
"images/val/283992,b48d0000b80b9e7.jpg",13,30,12
"images/val/283992,bff0002397dd17.jpg",19,20,18
"images/val/283992,cb5c000c7aef901.jpg",22,80,18
"images/val/283992,d8a60000607da30.jpg",5,32,4
"images/val/283992,e4d3000ff15cfc6.jpg",5,19,5
"images/val/283992,fc0f0005fc721e4.jpg",11,20,10
"images/val/284193,1040f00016f17559.jpg",10,10,10
"images/val/284193,11f8c0009bd23f6a.jpg",4,4,4
"images/val/284193,133b90006cfaf8d8.jpg",2,4,2
"images/val/284193,14c46000744f1d01.jpg",19,34,17
"images/val/284193,1660b0006ae7d88f.jpg",12,13,10
"images/val/284193,177d8000a713498a.jpg",10,13,9
"images/val/284193,18919000c87f892a.jpg",10,11,10
"images/val/284193,1abf300056ba1ce8.jpg",5,6,5
"images/val/284193,1b9db000fb266836.jpg",15,44,15
"images/val/284193,1c0aa0000b68bbb8.jpg",15,20,15
"images/val/284193,1ca00024e30093.jpg",8,16,8
"images/val/284193,1d28100042c51ec3.jpg",3,9,3
"images/val/284193,1d72f0005ff2306f.jpg",9,20,9
"images/val/284193,1ecc1000e4854d3b.jpg",5,9,5
"images/val/284193,20a54000c1d27ed7.jpg",19,30,19
"images/val/284193,22322000fab473d5.jpg",2,3,2
"images/val/284193,23920000b82135b2.jpg",8,9,7
"images/val/284193,256940003b4a2df7.jpg",7,25,7
"images/val/284193,26064000e80f2aa7.jpg",4,5,4
"images/val/284193,26eb6000b737667b.jpg",11,17,11
"images/val/284193,278b0000d6b33029.jpg",8,11,8
"images/val/284193,280a2000ce6e9316.jpg",13,25,13
